GCFID	SpeciesStrain	SpeciesID	SpeciesTaxnonmy	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
GCF_016904905.1	Brevibacillus laterosporus	Brevibacillus-laterosporus	Brevibacillus laterosporus	PRJNA224116	SAMN16515084	JADGMT000000000.1	na	1465	1465	Brevibacillus laterosporus	strain=SAM19		latest	Contig	Major	Full	2021/2/17	ASM1690490v1	University of Pavia	GCA_016904905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/904/905/GCF_016904905.1_ASM1690490v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
GCF_000179495.1	Finegoldia magna ACS-171-V-Col3	Finegoldia-magna	Finegoldia magna	PRJNA224116	SAMN00100752	AECM00000000.1	na	768713	1260	Finegoldia magna ACS-171-V-Col3	strain=ACS-171-V-Col3		latest	Contig	Major	Full	2010/8/5	ASM17949v1	J. Craig Venter Institute	GCA_000179495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/495/GCF_000179495.1_ASM17949v1	NA		na	Bacteria	norank	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
GCF_002243235.1	Finegoldia magna	Finegoldia-magna	Finegoldia magna	PRJNA224116	SAMN06769901	NDYJ00000000.1	na	1260	1260	Finegoldia magna	strain=07T609		latest	Contig	Major	Full	2017/8/7	ASM224323v1	Aarhus University	GCA_002243235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/243/235/GCF_002243235.1_ASM224323v1	NA		na	Bacteria	norank	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
GCF_002871675.1	Finegoldia magna	Finegoldia-magna	Finegoldia magna	PRJNA224116	SAMN07511404	PNHD00000000.1	na	1260	1260	Finegoldia magna	strain=UMB0115		latest	Scaffold	Major	Full	2018/1/10	ASM287167v1	Loyola University Chicago	GCA_002871675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/871/675/GCF_002871675.1_ASM287167v1	NA		na	Bacteria	norank	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
GCF_009678335.1	Finegoldia magna	Finegoldia-magna	Finegoldia magna	PRJNA224116	SAMN11946096	WKPT00000000.1	na	1260	1260	Finegoldia magna	strain=BIOML-A2		latest	Scaffold	Major	Full	2019/11/20	ASM967833v1	Massachusetts Institute of Technology	GCA_009678335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/678/335/GCF_009678335.1_ASM967833v1	NA		na	Bacteria	norank	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
GCF_000964605.1	Orientia tsutsugamushi str. Kato PP	Orientia-tsutsugamushi	Orientia tsutsugamushi	PRJNA224116	SAMN02692924	LANN00000000.1	na	1359186	784	Orientia tsutsugamushi str. Kato PP	strain=Kato PP		latest	Contig	Major	Full	2015/3/27	ASM96460v1	IGS	GCA_000964605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/964/605/GCF_000964605.1_ASM96460v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
GCF_000964855.1	Orientia tsutsugamushi str. TA716	Orientia-tsutsugamushi	Orientia tsutsugamushi	PRJNA224116	SAMN02693795	LAOA00000000.1	na	1359175	784	Orientia tsutsugamushi str. TA716	strain=TA716		latest	Contig	Major	Full	2015/3/27	ASM96485v1	IGS	GCA_000964855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/964/855/GCF_000964855.1_ASM96485v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
GCF_001654785.2	Orientia tsutsugamushi str. Karp	Orientia-tsutsugamushi	Orientia tsutsugamushi	PRJNA224116	SAMN05075509	LYMA00000000.2	na	1359185	784	Orientia tsutsugamushi str. Karp	strain=Karp		latest	Contig	Major	Full	2016/10/23	O_tsutsugamushi_Karp_2M	Center for Biologics Evaluation and Research Food and Drug Administration	GCA_001654785.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/785/GCF_001654785.2_O_tsutsugamushi_Karp_2M	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
GCF_001654795.1	Orientia tsutsugamushi	Orientia-tsutsugamushi	Orientia tsutsugamushi	PRJNA224116	SAMN05075746	LYMT00000000.1	na	784	784	Orientia tsutsugamushi	strain=AFSC4		latest	Contig	Major	Full	2016/6/2	ASM165479v1	Center for Biologics Evaluation and Research, Food and Drug Administration	GCA_001654795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/795/GCF_001654795.1_ASM165479v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
GCF_001190985.1	Kocuria rhizophila	Kocuria-rhizophila	Kocuria rhizophila	PRJNA224116	SAMN02937302	JPWX00000000.2	na	72000	72000	Kocuria rhizophila	strain=RF		latest	Contig	Major	Full	2016/1/19	ASM119098v2	Malek-Ashtar University of Technology	GCA_001190985.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/985/GCF_001190985.1_ASM119098v2	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila
GCF_002879775.1	Kocuria rhizophila	Kocuria-rhizophila	Kocuria rhizophila	PRJNA224116	SAMN08325509	PNRK00000000.1	na	72000	72000	Kocuria rhizophila	strain=D2		latest	Contig	Major	Full	2018/1/14	ASM287977v1	NCCS	GCA_002879775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/879/775/GCF_002879775.1_ASM287977v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila
GCF_017598955.1	Kocuria rhizophila	Kocuria-rhizophila	Kocuria rhizophila	PRJNA224116	SAMN18417780	JAGFVR000000000.1	na	72000	72000	Kocuria rhizophila	strain=28R2A-13		latest	Contig	Major	Full	2021/3/28	28R2A-13	University of Bristol	GCA_017598955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/598/955/GCF_017598955.1_28R2A-13	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila
GCF_900576785.1	Kocuria rhizophila	Kocuria-rhizophila	Kocuria rhizophila	PRJNA224116	SAMEA4972115	UTAC00000000.1	na	72000	72000	Kocuria rhizophila		Kocuria sp. PT10	latest	Contig	Major	Full	2018/11/18	PT10	UMR5557	GCA_900576785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/576/785/GCF_900576785.1_PT10	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila
GCF_001523185.1	Burkholderia stagnalis	Burkholderia-stagnalis	Burkholderia stagnalis	PRJNA224116	SAMN03449189	LOUZ00000000.1	na	1503054	1503054	Burkholderia stagnalis	strain=MSMB1136		latest	Contig	Major	Full	2016/1/21	ASM152318v1	Northern Arizona University	GCA_001523185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/523/185/GCF_001523185.1_ASM152318v1	NA		na	Bacteria	norank	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stagnalis
GCF_001979255.1	Burkholderia pseudomallei	Burkholderia-pseudomallei	Burkholderia pseudomallei	PRJNA224116	SAMN04208713	LXAQ00000000.1	na	28450	28450	Burkholderia pseudomallei	strain=MSHR1821		latest	Contig	Major	Full	2017/1/31	ASM197925v1	Northern Arizona University	GCA_001979255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/979/255/GCF_001979255.1_ASM197925v1	NA		na	Bacteria	norank	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
GCF_001980315.1	Burkholderia pseudomallei	Burkholderia-pseudomallei	Burkholderia pseudomallei	PRJNA224116	SAMN04208767	LXCP00000000.1	na	28450	28450	Burkholderia pseudomallei	strain=MSHR4504		latest	Contig	Major	Full	2017/1/31	ASM198031v1	Northern Arizona University	GCA_001980315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/980/315/GCF_001980315.1_ASM198031v1	NA		na	Bacteria	norank	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
GCF_902499155.1	Burkholderia stagnalis	Burkholderia-stagnalis	Burkholderia stagnalis	PRJNA224116	SAMEA5795712	CABVPM000000000.1	na	1503054	1503054	Burkholderia stagnalis		LMG 28156	latest	Contig	Major	Full	2020/4/25	ASM90249915v1	LM-UGent	GCA_902499155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/499/155/GCF_902499155.1_ASM90249915v1	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stagnalis
GCF_002119825.1	Macrococcus caseolyticus	Macrococcus-caseolyticus	Macrococcus caseolyticus	PRJNA224116	SAMN06829096		na	69966	69966	Macrococcus caseolyticus	strain=IMD0819		latest	Complete Genome	Major	Full	2017/5/9	ASM211982v1	University of Bern	GCA_002119825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/825/GCF_002119825.1_ASM211982v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus
GCF_002834705.1	Macrococcus caseolyticus	Macrococcus-caseolyticus	Macrococcus caseolyticus	PRJNA224116	SAMN08117966	PIXE00000000.1	na	69966	69966	Macrococcus caseolyticus	strain=5794_EF323		latest	Contig	Major	Full	2017/12/12	ASM283470v1	University of Edinburgh	GCA_002834705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/834/705/GCF_002834705.1_ASM283470v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus
GCF_002835305.1	Macrococcus caseolyticus	Macrococcus-caseolyticus	Macrococcus caseolyticus	PRJNA224116	SAMN08117970	PIXI00000000.1	na	69966	69966	Macrococcus caseolyticus	strain=5800_EF393a		latest	Contig	Major	Full	2017/12/12	ASM283530v1	University of Edinburgh	GCA_002835305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/835/305/GCF_002835305.1_ASM283530v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus
GCF_007673225.1	Macrococcus caseolyticus	Macrococcus-caseolyticus	Macrococcus caseolyticus	PRJNA224116	SAMN11792529	VDZI00000000.1	na	69966	69966	Macrococcus caseolyticus	strain=DE0369		latest	Scaffold	Major	Full	2019/7/30	ASM767322v1	BGI	GCA_007673225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/225/GCF_007673225.1_ASM767322v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus
GCF_000010625.1	Microcystis aeruginosa NIES-843	Microcystis-aeruginosa	Microcystis aeruginosa	PRJNA224116	SAMD00060936		na	449447	1126	Microcystis aeruginosa NIES-843	strain=NIES-843		latest	Complete Genome	Major	Full	2008/1/24	ASM1062v1	Kazusa DNA Research Institute	GCA_000010625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/625/GCF_000010625.1_ASM1062v1	NA	assembly from type material	na	Bacteria	norank	Cyanobacteria	norank	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312165.1	Microcystis aeruginosa PCC 9717	Microcystis-aeruginosa	Microcystis aeruginosa	PRJNA224116	SAMEA2272067	CAII00000000.1	na	1160286	1126	Microcystis aeruginosa PCC 9717	strain=PCC 9717		latest	Scaffold	Major	Full	2012/8/6	ASM31216v1	Genoscope CEA	GCA_000312165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/165/GCF_000312165.1_ASM31216v1	NA		na	Bacteria	norank	Cyanobacteria	norank	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000312725.1	Microcystis aeruginosa PCC 9806	Microcystis-aeruginosa	Microcystis aeruginosa	PRJNA224116	SAMEA2272205	CAIL00000000.1	na	1160282	1126	Microcystis aeruginosa PCC 9806	strain=PCC 9806		latest	Scaffold	Major	Full	2012/8/6	ASM31272v1	Genoscope CEA	GCA_000312725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/725/GCF_000312725.1_ASM31272v1	NA		na	Bacteria	norank	Cyanobacteria	norank	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_003206625.1	Microcystis aeruginosa NIES-1211	Microcystis-aeruginosa	Microcystis aeruginosa	PRJNA224116	SAMD00093602	BEIV00000000.1	na	449534	1126	Microcystis aeruginosa NIES-1211	strain=NIES-1211		latest	Scaffold	Major	Full	2018/6/8	ASM320662v1	University of Tsukuba	GCA_003206625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/206/625/GCF_003206625.1_ASM320662v1	NA		na	Bacteria	norank	Cyanobacteria	norank	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
GCF_000963965.1	Acetobacter orientalis	Acetobacter-orientalis	Acetobacter orientalis	PRJNA224116	SAMD00036633	BAMX00000000.1	representative genome	146474	146474	Acetobacter orientalis	strain=21F-2		latest	Scaffold	Major	Full	2015/3/21	ASM96396v1	Kinki University	GCA_000963965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/965/GCF_000963965.1_ASM96396v1	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orientalis
GCF_001499675.1	Acetobacter ghanensis	Acetobacter-ghanensis	Acetobacter ghanensis	PRJNA224116	SAMEA2738364		na	431306	431306	Acetobacter ghanensis	strain=LMG 23848T		latest	Chromosome	Major	Full	2016/1/3	Acetobacter ghanensis	Vrije Universiteit Brussel	GCA_001499675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/675/GCF_001499675.1_Acetobacter_ghanensis	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis
GCF_002153545.1	Acetobacter indonesiensis	Acetobacter-indonesiensis	Acetobacter indonesiensis	PRJNA224116	SAMN02866229	JOPA00000000.1	na	104101	104101	Acetobacter indonesiensis	strain=DmL_051		latest	Contig	Major	Full	2017/5/19	ASM215354v1	Cornell University	GCA_002153545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/153/545/GCF_002153545.1_ASM215354v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis
GCF_013307325.1	Acetobacter syzygii	Acetobacter-syzygii	Acetobacter syzygii	PRJNA224116	SAMN15053861	JABUNT000000000.1	na	146476	146476	Acetobacter syzygii	strain=K03D05		latest	Contig	Major	Full	2020/6/9	ASM1330732v1	Universidad de Valparaiso	GCA_013307325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/307/325/GCF_013307325.1_ASM1330732v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter syzygii
GCF_001061655.1	Rothia mucilaginosa	Rothia-mucilaginosa	Rothia mucilaginosa	PRJNA224116	SAMN03197327	JVST00000000.1	na	43675	43675	Rothia mucilaginosa	strain=138_RMUC		latest	Scaffold	Major	Full	2015/7/10	ASM106165v1	University of Washington	GCA_001061655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/061/655/GCF_001061655.1_ASM106165v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
GCF_001476195.1	Rothia kristinae	Rothia-kristinae	Rothia kristinae	PRJNA224116	SAMN03401340	LDRD00000000.1	na	37923	37923	Rothia kristinae	strain=RSA28		latest	Contig	Major	Full	2015/12/22	ASM147619v1	Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology, Sector 39-A, Chandigarh, India	GCA_001476195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/476/195/GCF_001476195.1_ASM147619v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia kristinae
GCF_002386365.1	Rothia mucilaginosa	Rothia-mucilaginosa	Rothia mucilaginosa	PRJNA224116	SAMN07312413		na	43675	43675	Rothia mucilaginosa	strain=FDAARGOS_369		latest	Complete Genome	Major	Full	2017/9/28	ASM238636v1	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002386365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/365/GCF_002386365.1_ASM238636v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
GCF_020176985.1	Rothia kristinae	Rothia-kristinae	Rothia kristinae	PRJNA224116	SAMN20345123	JAIUDH000000000.1	na	37923	37923	Rothia kristinae	strain=alder54		latest	Contig	Major	Full	2021/9/29	ASM2017698v1	University of New Hampshire	GCA_020176985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/176/985/GCF_020176985.1_ASM2017698v1	NA		na	Bacteria	norank	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia kristinae
GCF_000821065.1	Oceanobacillus oncorhynchi	Oceanobacillus-oncorhynchi	Oceanobacillus oncorhynchi	PRJNA224116	SAMEA3111961	CDGG00000000.1	representative genome	545501	545501	Oceanobacillus oncorhynchi	strain=Oc5		latest	Contig	Major	Full	2014/11/12	PRJEB5950_assembly_1	URMITE	GCA_000821065.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/065/GCF_000821065.1_PRJEB5950_assembly_1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
GCF_001485235.1	Oceanobacillus picturae	Oceanobacillus-picturae	Oceanobacillus picturae	PRJNA224116	SAMD00029049	BBXV00000000.1	na	171693	171693	Oceanobacillus picturae	strain=Heshi-B3		latest	Contig	Major	Full	2015/12/8	ASM148523v1	NODAI Genome Research Center, Tokyo University of Agriculture	GCA_001485235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/485/235/GCF_001485235.1_ASM148523v1	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus picturae
GCF_900166635.1	Oceanobacillus timonensis	Oceanobacillus-timonensis	Oceanobacillus timonensis	PRJNA224116	SAMEA89867668	FVZA00000000.1	representative genome	1926285	1926285	Oceanobacillus timonensis	strain=Marseille-P3532		latest	Scaffold	Major	Full	2017/3/24	PRJEB19430	URMITE	GCA_900166635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/166/635/GCF_900166635.1_PRJEB19430	NA	assembly from type material	na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus timonensis
GCF_902377515.1	Oceanobacillus picturae	Oceanobacillus-picturae	Oceanobacillus picturae	PRJNA224116	SAMEA5851206	CABLBW000000000.1	na	171693	171693	Oceanobacillus picturae		MGYG-HGUT-01702	latest	Contig	Major	Full	2019/8/16	MGYG-HGUT-01702	EMG	GCA_902377515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/377/515/GCF_902377515.1_MGYG-HGUT-01702	NA		na	Bacteria	norank	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus picturae
GCF_000389755.1	Pectobacterium atrosepticum CFBP 6276	Pectobacterium-atrosepticum	Pectobacterium atrosepticum	PRJNA224116	SAMN02469608	ASAB00000000.1	na	1289594	29471	Pectobacterium atrosepticum CFBP 6276	strain=CFBP 6276		latest	Scaffold	Major	Full	2013/5/17	Pa6276v1.0	Institut des Sciences du vegetal	GCA_000389755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/755/GCF_000389755.1_Pa6276v1.0	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium atrosepticum
GCF_003594975.1	Pectobacterium carotovorum	Pectobacterium-carotovorum	Pectobacterium carotovorum	PRJNA224116	SAMN10059736	QZDI00000000.1	na	554	554	Pectobacterium carotovorum	strain=S4.16.03.1C		latest	Contig	Major	Full	2018/9/25	ASM359497v1	Institute for integrative biology of the cell	GCA_003594975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/594/975/GCF_003594975.1_ASM359497v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium carotovorum
GCF_013449415.1	Pectobacterium carotovorum	Pectobacterium-carotovorum	Pectobacterium carotovorum	PRJNA224116	SAMN15374769	JACDSA000000000.1	na	554	554	Pectobacterium carotovorum	strain=CFBP8734		latest	Scaffold	Major	Full	2020/7/21	ASM1344941v1	Sorbonne University	GCA_013449415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/449/415/GCF_013449415.1_ASM1344941v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium carotovorum
GCF_014164815.1	Pectobacterium carotovorum subsp. carotovorum	Pectobacterium-carotovorum	Pectobacterium carotovorum	PRJNA224116	SAMN15719027	JACJFR000000000.1	na	555	554	Pectobacterium carotovorum subsp. carotovorum	strain=BL-4		latest	Scaffold	Major	Full	2020/8/11	ASM1416481v1	Hebei Academy of Agricultural and Forestry Sciences	GCA_014164815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/164/815/GCF_014164815.1_ASM1416481v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium carotovorum
GCF_000583855.1	Gluconobacter oxydans DSM 3504	Gluconobacter-oxydans	Gluconobacter oxydans	PRJNA224116	SAMN05771126		representative genome	1288313	442	Gluconobacter oxydans DSM 3504	strain=DSM 3504		latest	Complete Genome	Major	Full	2014/3/3	ASM58385v1	Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	GCA_000583855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/855/GCF_000583855.1_ASM58385v1	NA		na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
GCF_001581045.1	Gluconobacter oxydans	Gluconobacter-oxydans	Gluconobacter oxydans	PRJNA224116	SAMN03799296	LHZW00000000.1	na	442	442	Gluconobacter oxydans	strain=LMG 27012		latest	Contig	Major	Full	2016/3/7	ASM158104v1	Ghent University	GCA_001581045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/581/045/GCF_001581045.1_ASM158104v1	NA	assembly from synonym type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
GCF_002723915.1	Gluconobacter albidus	Gluconobacter-albidus	Gluconobacter albidus	PRJNA224116	SAMD00093677	BEWL00000000.1	na	318683	318683	Gluconobacter albidus	strain=NBRC 3250		latest	Contig	Major	Full	2017/10/24	ASM272391v1	National Institute of Technology and Evaluation	GCA_002723915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/723/915/GCF_002723915.1_ASM272391v1	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter albidus
GCF_006538885.1	Gluconobacter roseus NBRC 3990	Gluconobacter-roseus	Gluconobacter roseus	PRJNA224116	SAMD00097151	BJLY00000000.1	representative genome	1307950	586239	Gluconobacter roseus NBRC 3990	strain=NBRC 3990		latest	Contig	Major	Full	2019/6/12	ASM653888v1	National Institute of Technology and Evaluation	GCA_006538885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/538/885/GCF_006538885.1_ASM653888v1	NA	assembly from type material	na	Bacteria	norank	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter roseus
GCF_000985635.1	Aliivibrio fischeri	Aliivibrio-fischeri	Aliivibrio fischeri	PRJNA224116	SAMEA3355991	CVOI00000000.1	representative genome	668	668	Aliivibrio fischeri	strain=5LC		latest	Contig	Major	Full	2015/4/25	5LC	CENTRE OF MARINE SCIENCES	GCA_000985635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/985/635/GCF_000985635.1_5LC	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
GCF_001640525.1	Aliivibrio fischeri	Aliivibrio-fischeri	Aliivibrio fischeri	PRJNA224116	SAMN04520027	LTZE00000000.1	na	668	668	Aliivibrio fischeri	strain=MB15A5		latest	Contig	Major	Full	2016/5/9	ASM164052v1	MIT	GCA_001640525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/525/GCF_001640525.1_ASM164052v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
GCF_009727525.1	Aliivibrio fischeri	Aliivibrio-fischeri	Aliivibrio fischeri	PRJNA224116	SAMN13340521	WOAX00000000.1	na	668	668	Aliivibrio fischeri	strain=lpeal.1.2		latest	Scaffold	Major	Full	2019/12/3	ASM972752v1	University of Hawaii-Manoa	GCA_009727525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/727/525/GCF_009727525.1_ASM972752v1	NA		na	Bacteria	norank	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
